"V4" "V5" "V6" "V7" "V8" "V9"
"57" 16.1 7 50 15 40 128
"58" 22.7 16 45 15 39 135
"59" 32.1 28 79 13 81 117
"60" 17 10 54 19 102 213
"61" 30.2 25 65 7 90 151
"62" 30.2 25 69 9 56 174
"63" 38.6 35 47 22 67 184
"64" 38.6 32 32 6 92 141
"65" 32.1 28 79 0 39 112
"66" 16.1 6 46 26 56 284
"67" 8.6 -1 29 6 10 40
"68" 21.7 15 48 19 54 128
"69" 6.7 -6 55 13 9 55
"70" 33.9 27 30 22 64 145
"71" 16.1 6 34 24 17 170
"72" 31.1 26 61 20 33 117
"73" 29.2 24 73 0 46 151
"74" 33.9 27 28 26 42 123
"75" 32.1 27 65 15 171 178
"76" 28.3 25 57 7 196 350
"77" 39.6 33 28 11 112 163
"78" 42.4 43 42 20 120 269
"79" 28.3 25 43 0 37 206
"80" 18.9 12 71 9 27 117
"81" 37.7 35 52 7 59 167
"82" 23.6 17 94 0 53 166
"83" 33.9 30 66 24 150 332
"84" 25.5 19 64 20 13 74
"85" 25.5 19 40 26 153 221
"86" 21.7 15 31 39 47 131
"87" 31.1 26 61 7 84 196
"88" 15.1 5 46 17 26 64
"89" 6.7 -5 55 11 6 93
"90" 33 29 62 19 143 314
"91" 30.2 25 50 13 51 181
"92" 33.9 30 70 0 226 263
"93" 13.3 1 39 41 23 187
"94" 15.1 5 36 17 8 155
"95" 23.6 17 55 13 41 95
"96" 20.8 14 63 7 16 101
"97" 27.4 24 64 26 60 157
"98" 27.4 22 78 0 39 150
"99" 8.6 -4 69 26 2 60
"100" 20.8 14 36 9 75 158
"101" 14.2 4 65 13 31 180
"102" 27.4 23 73 20 45 59
"103" 11.4 -1 93 26 1 26
"104" 28.3 25 41 6 157 365
"105" 16.1 7 81 9 13 62
"106" 17 10 66 17 33 164
"107" 33.9 29 58 13 80 155
"108" 28.3 22 83 6 118 268
"109" 31.1 26 79 9 73 178
"110" 28.3 25 43 6 65 161
"111" 20.8 14 72 11 131 202
"112" 6.7 -6 59 17 21 158
"113" 34.9 31 62 9 81 215
"114" 36.8 30 26 0 68 146
"115" 9.5 -2 51 20 7 50
"116" 12.3 0 56 30 23 80
"117" 38.6 37 53 17 74 169
"118" 8.6 -3 40 13 28 150
"119" 18 11 76 15 43 116
"120" 19.8 13 41 28 88 93
"121" 25.5 19 73 7 144 270
"122" 37.7 35 52 11 39 86
"123" 20.8 14 63 9 21 126
"124" 28.3 20 94 0 6 66
"125" 7.6 -7 37 35 12 63
"126" 17 10 46 13 40 154
"127" 18 11 71 15 26 100
"128" 16.1 8 81 7 27 136
"129" 20.8 14 72 9 184 279
"130" 11.4 0 70 19 5 81
"131" 43.3 42 38 13 122 245
"132" 27.4 21 83 17 80 225
"133" 4.8 -9 42 20 3 121
"134" 23.6 17 48 35 77 179
"135" 33 29 66 11 43 121
"136" 23.6 17 48 19 46 120
"137" 18 11 82 17 6 99
"138" 34.9 29 48 7 69 212
"139" 11.4 4 35 0 31 166
"140" 29.2 22 89 13 23 142
"141" 27.4 22 78 15 120 202
"142" 11.4 2 56 9 17 86
"143" 23.6 17 23 17 10 43
"144" 14.2 3 57 26 8 71
"145" 22.7 16 88 9 8 44
"146" 22.7 16 88 20 1 10
"147" 23.6 17 77 9 226 359
"148" 10.4 -1 93 13 5 47
"149" 12.3 2 52 15 71 107
"150" 35.8 33 62 15 138 211
"151" 20.8 14 94 17 4 28
"152" 38.6 38 56 19 41 113
"153" 28.3 25 43 0 109 225
"154" 14.2 6 57 6 48 227
"155" 37.7 35 52 9 30 112
"156" 15.1 7 39 7 92 111
"157" 19.8 13 77 0 10 135
"158" 33 28 51 11 67 227
"159" 36.8 30 31 13 41 170
"160" 18 11 87 7 63 341
"161" 36.8 34 55 7 54 162
"162" 33.9 28 51 15 33 142
"163" 20.8 14 47 17 14 105
"164" 18.9 12 41 28 42 179
"165" 33 28 51 9 51 141
"166" 14.2 3 76 26 15 44
"167" 29.2 25 31 22 57 135
"168" 25.5 19 43 0 35 131
"169" 13.3 2 33 22 56 218
"170" 33.9 30 70 13 122 192
"171" 36.8 33 49 11 76 160
"172" 40.5 35 32 11 53 66
"173" 30.2 25 50 11 71 183
"174" 25.5 19 64 19 197 388
"175" 19.8 13 100 6 3 47
"176" 36.8 34 55 6 42 99
"177" 15.1 5 57 15 27 51
"178" 18.9 12 41 20 52 90
"179" 37.7 39 63 0 113 156
"180" 25.5 19 60 9 60 151
"181" 27.4 25 46 19 32 138
"182" 33.9 28 51 6 36 104
"183" 18 11 62 7 107 123
"184" 22.7 16 42 26 54 168
"185" 10.4 -4 38 41 12 102
"186" 38.6 33 36 13 111 206
"187" 33 28 58 0 115 223
"188" 18 11 47 11 72 126
"189" 17 10 40 7 96 262
"190" 13.3 4 70 11 43 42
"191" 19.8 13 44 7 52 111
"192" 30.2 25 47 11 38 100
"193" 33 28 58 6 141 236
"194" 13.3 2 28 22 30 84
"195" 18 11 87 9 93 109
"196" 18 11 82 22 3 69
"197" 15.1 4 25 26 18 63
"198" 27.4 25 40 26 58 66
"199" 26.4 20 60 13 63 133
"200" 15.1 5 46 17 9 115
