"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"49" 2 1 2 25.5 19 83 15 12 67
"50" 2 1 1 33.9 28 51 15 33 142
"51" 3 1 1 27.4 25 43 17 44 203
"52" 2 1 1 28.3 24 69 6 31 87
"53" 3 1 2 38.6 39 59 13 24 83
"54" 1 1 1 14.2 5 66 13 45 126
"55" 3 0 1 37.7 39 63 0 113 156
"56" 1 1 3 9.5 -3 93 22 6 35
"57" 3 1 2 30.2 25 74 7 51 141
"58" 4 0 1 25.5 19 52 19 217 446
"59" 3 1 2 35.8 32 55 9 69 146
"60" 1 1 1 11.4 1 41 11 20 110
"61" 1 0 1 13.3 5 75 6 43 43
"62" 2 0 2 18 11 47 11 72 126
"63" 1 1 1 7.6 -7 43 30 9 55
"64" 2 1 1 33.9 28 51 6 36 104
"65" 2 1 1 23.6 17 45 11 28 87
"66" 2 0 2 29.2 24 69 7 121 214
"67" 2 0 2 22.7 16 94 13 98 175
"68" 3 1 1 33 28 51 9 51 141
"69" 3 1 1 36.8 30 31 0 42 94
"70" 4 1 1 19.8 13 44 19 11 161
"71" 3 0 2 33 29 70 7 143 296
"72" 3 1 1 33.9 30 66 13 47 182
"73" 2 1 2 18.9 12 82 13 4 57
"74" 3 0 1 34.9 30 55 19 147 244
"75" 2 1 1 23.6 17 48 35 77 179
"76" 1 1 1 12.3 2 45 17 8 48
"77" 4 0 2 10.4 -1 60 15 20 168
"78" 3 1 1 41.5 38 35 20 107 137
"79" 2 1 1 39.6 37 47 0 28 78
"80" 3 1 2 28.3 22 83 11 42 138
"81" 4 1 2 30.2 24 83 7 24 127
"82" 1 1 2 15.1 5 57 15 27 51
"83" 1 1 1 14.2 4 53 20 15 149
"84" 1 1 1 10.4 -4 38 41 12 102
"85" 4 1 3 13.3 2 87 20 6 59
"86" 2 1 2 18.9 12 71 20 32 47
"87" 3 1 1 33.9 28 51 15 40 110
"88" 4 1 2 18 11 87 6 22 148
"89" 1 0 1 13.3 2 33 22 56 218
"90" 2 0 1 29.2 24 65 17 115 136
"91" 3 1 1 33 27 37 15 38 110
"92" 3 0 1 41.5 38 37 13 62 154
"93" 4 1 3 22.7 16 88 9 8 44
"94" 1 0 1 13.3 6 45 0 26 100
"95" 1 1 1 5.7 -8 39 24 1 44
"96" 2 1 1 27.4 25 38 15 49 108
"97" 1 0 1 4.8 -9 42 20 3 121
"98" 2 1 2 20.8 14 94 15 16 135
"99" 2 1 2 27.4 23 73 20 45 59
"100" 2 1 3 14.2 3 81 30 1 18
"101" 3 1 1 34.9 32 66 9 108 152
"102" 1 1 2 28.3 25 41 11 65 155
"103" 1 0 2 2 -11 38 9 4 59
"104" 2 0 1 20.8 14 51 0 128 283
"105" 3 1 1 38.6 35 47 22 67 184
"106" 2 0 1 35.8 32 55 7 131 236
"107" 3 1 1 39.6 33 28 20 88 221
"108" 3 1 1 34.9 29 45 7 49 166
"109" 4 1 1 14.2 6 45 9 39 177
"110" 4 0 1 18 11 58 7 143 323
"111" 2 0 1 20.8 14 72 9 184 279
"112" 4 0 1 23.6 17 72 11 112 255
"113" 4 1 2 15.1 6 61 9 28 138
"114" 3 1 2 31.1 26 65 9 39 120
"115" 4 0 2 17 10 66 17 74 218
"116" 1 1 2 16.1 7 81 9 13 62
"117" 3 0 1 32.1 27 65 0 144 258
"118" 2 1 1 29.2 25 57 0 56 129
"119" 2 1 1 34.9 31 62 20 50 147
"120" 2 0 2 17 10 40 7 96 262
"121" 3 1 3 25.5 19 88 11 8 48
"122" 3 1 1 39.6 34 34 13 66 151
"123" 4 0 1 15.1 6 81 11 48 206
"124" 4 0 1 20.8 14 59 9 180 324
"125" 3 0 1 32.1 27 58 26 59 178
"126" 1 1 2 8.6 -2 47 9 4 31
"127" 2 0 2 30.2 24 83 19 139 180
"128" 3 1 1 37.7 35 52 7 59 167
"129" 4 0 1 22.7 16 63 24 83 157
"130" 1 1 2 5.7 -6 43 11 1 40
"131" 4 1 1 29.2 25 57 6 49 168
"132" 4 0 1 14.2 6 57 6 48 227
"133" 1 1 1 16.1 6 43 17 11 92
"134" 3 1 1 34.9 29 40 6 85 191
"135" 1 1 2 11.4 3 56 6 6 82
"136" 2 1 1 18.9 12 47 20 50 174
"137" 4 1 3 23.6 17 94 17 33 116
"138" 3 1 3 27.4 18 94 0 1 9
"139" 2 0 1 25.5 19 73 7 144 270
"140" 2 1 1 21.7 15 31 39 47 131
"141" 4 1 2 23.6 17 68 7 11 107
"142" 4 0 2 28.3 22 83 6 118 268
"143" 1 1 2 12.3 2 52 15 71 107
"144" 1 1 2 11.4 1 60 11 20 104
"145" 4 1 2 16.1 7 66 15 37 152
"146" 4 1 2 15.1 5 57 15 22 168
"147" 2 0 1 30.2 25 65 9 124 193
"148" 1 1 1 10.4 -1 52 15 4 95
"149" 1 1 1 13.3 6 49 0 6 78
"150" 2 1 1 26.4 20 73 20 34 96
"151" 4 0 1 14.2 3 53 28 44 192
"152" 4 1 1 16.1 7 50 15 40 128
"153" 1 1 1 9.5 -1 47 9 12 52
"154" 3 1 1 35.8 32 55 17 47 171
"155" 2 0 1 34.9 31 62 9 110 215
"156" 1 1 3 14.2 6 70 7 2 69
"157" 4 0 2 22.7 16 63 7 74 212
"158" 4 1 2 15.1 7 53 6 31 170
"159" 3 1 1 33 27 37 13 60 115
"160" 1 0 2 18.9 12 100 15 18 44
"161" 4 1 1 25.5 19 37 13 71 167
"162" 3 0 1 36.8 31 36 6 144 213
"163" 4 0 1 28.3 25 53 6 189 234
"164" 3 1 2 38.6 37 53 22 45 156
"165" 2 1 1 31.1 26 69 17 43 138
"166" 3 1 1 37.7 37 59 0 29 98
"167" 3 1 1 34.9 29 40 6 94 151
"168" 2 1 1 37.7 34 46 0 46 107
"169" 1 1 1 9.5 -4 47 31 1 49
"170" 3 1 2 28.3 24 69 15 61 191
"171" 2 1 2 28.3 22 83 19 10 74
"172" 4 1 1 17 10 54 20 10 112
"173" 1 1 1 7.6 -5 51 19 6 47
"174" 2 1 3 15.1 6 66 13 23 83
"175" 1 1 2 8.6 -5 44 30 4 33
"176" 1 1 1 16.1 7 46 13 9 120
"177" 4 1 1 11.4 1 48 11 16 162
"178" 1 0 3 9.5 -1 100 9 1 46
"179" 2 1 1 29.2 25 31 22 57 135
"180" 4 0 1 17 10 43 13 80 343
"181" 2 1 1 20.8 14 36 9 75 158
"182" 4 1 1 24.5 18 49 0 29 115
"183" 4 0 2 22.7 16 51 26 110 352
"184" 3 1 1 37.7 36 56 20 39 89
"185" 2 1 1 29.2 25 41 19 40 103
"186" 4 1 1 18 11 50 9 31 97
"187" 4 1 2 18.9 12 67 6 45 160
"188" 2 1 1 18.9 12 47 30 81 128
"189" 3 1 2 33 29 66 6 45 120
"190" 1 1 1 12.3 2 52 15 16 73
"191" 1 1 1 9.5 -2 51 20 7 50
"192" 4 1 1 14.2 4 49 17 25 126
"193" 2 1 2 20.8 14 55 0 36 86
"194" 1 1 1 11.4 0 25 17 11 46
"195" 2 1 1 32.1 26 42 17 65 199
"196" 4 1 1 25.5 19 63 0 80 150
"197" 3 0 3 30.2 23 89 28 15 73
"198" 2 1 2 31.1 26 61 20 33 117
"199" 1 1 3 7.6 -2 93 7 0 30
"200" 1 0 1 11.4 -1 48 24 45 163
"201" 4 0 2 16.1 7 87 9 47 248
"202" 3 1 2 33 29 62 9 72 144
"203" 4 1 2 28.3 22 83 0 8 76
"204" 1 1 2 10.4 -1 93 13 5 47
"205" 3 0 1 38.6 37 53 17 74 169
"206" 4 0 1 20.8 14 40 28 108 187
"207" 3 1 1 32.1 26 34 7 62 124
"208" 2 1 3 24.5 18 88 11 53 111
"209" 1 1 1 23.6 17 77 30 9 50
"210" 3 0 2 33 29 62 19 143 314
"211" 3 1 1 29.2 25 33 6 60 187
"212" 3 0 1 34.9 31 62 30 173 405
"213" 1 1 1 21.7 15 48 19 54 128
"214" 4 1 1 24.5 18 64 19 22 102
"215" 4 0 1 23.6 17 44 22 191 356
"216" 2 1 1 30.2 25 69 9 56 174
"217" 1 0 1 5.7 -7 43 15 22 77
"218" 2 1 2 28.3 23 73 7 131 187
"219" 4 0 2 19.8 13 62 7 110 172
"220" 1 0 1 13.3 2 28 22 30 84
"221" 2 1 1 27.4 25 46 15 26 99
"222" 2 1 1 21.7 15 23 0 91 167
"223" 2 1 2 34.9 30 52 17 38 113
"224" 4 1 3 20.8 14 94 17 4 28
"225" 3 1 1 36.8 31 38 22 56 147
"226" 2 1 3 20.8 14 47 17 14 105
"227" 1 0 2 16.1 6 71 17 16 54
"228" 2 1 1 33 27 37 19 65 153
"229" 3 1 1 39.6 36 41 9 40 121
"230" 1 1 1 11.4 2 70 9 12 104
"231" 1 1 2 19.8 13 77 0 10 135
"232" 1 0 1 19.8 13 16 39 47 76
"233" 4 0 2 14.2 5 81 11 81 274
"234" 4 0 1 28.3 24 69 6 139 183
"235" 1 1 2 19.8 13 44 17 19 71
"236" 1 0 1 8.6 -3 55 15 18 54
"237" 3 1 1 36.8 36 63 6 26 116
"238" 4 1 1 20.8 14 67 11 21 131
"239" 2 1 1 14.2 3 61 24 17 72
"240" 2 0 2 18 11 87 9 93 109
"241" 1 1 1 16.1 7 66 11 22 149
"242" 2 1 2 33.9 29 55 22 40 126
"243" 3 1 1 32.1 27 58 13 34 131
"244" 1 1 1 16.1 6 53 19 13 125
"245" 2 1 2 27.4 25 43 24 61 152
"246" 1 1 2 12.3 2 45 11 5 63
"247" 1 1 1 24.5 18 73 19 64 155
"248" 1 1 1 23.6 17 23 17 10 43
"249" 4 1 2 25.5 19 64 13 18 116
"250" 4 1 3 26.4 20 94 9 7 92
"251" 1 1 2 9.5 -1 60 13 43 114
"252" 1 1 1 18 11 37 19 14 125
"253" 2 0 1 25.5 19 43 0 132 215
"254" 1 0 1 6.7 -6 59 17 21 158
"255" 4 1 1 22.7 16 45 28 56 172
"256" 1 1 2 14.2 3 42 28 12 150
"257" 2 0 1 12.3 2 38 11 75 93
"258" 3 1 1 41.5 43 50 7 23 86
"259" 3 0 1 29.2 25 47 11 183 376
"260" 4 0 3 17 10 82 22 30 102
"261" 2 0 1 32.1 27 54 13 164 209
"262" 4 1 2 30.2 23 89 7 26 97
"263" 3 1 2 34.9 32 66 6 84 130
"264" 2 1 2 27.4 24 64 26 60 157
"265" 4 1 2 27.4 23 73 11 31 92
"266" 4 0 1 26.4 20 56 0 176 221
"267" 4 1 2 14.2 5 76 13 20 183
"268" 3 1 2 32.1 27 58 0 55 95
"269" 4 1 1 18.9 12 77 7 28 100
"270" 1 0 1 16.1 6 43 19 90 209
"271" 1 1 1 15.1 4 34 20 7 59
"272" 2 0 1 33 29 66 15 268 251
"273" 1 1 2 15.1 7 81 7 18 101
"274" 3 1 1 34.9 28 29 0 48 108
"275" 1 1 2 14.2 4 57 20 14 67
"276" 4 1 1 15.1 5 46 15 31 119
"277" 4 0 1 25.5 19 35 19 159 218
"278" 2 1 1 23.6 17 77 24 11 38
"279" 2 0 1 26.4 20 49 6 142 198
"280" 2 1 2 24.5 18 73 13 64 149
"281" 4 1 1 22.7 16 45 15 39 135
"282" 2 1 2 25.5 19 83 28 26 104
"283" 2 1 2 34.9 29 48 15 59 143
"284" 3 1 1 33 27 34 22 46 85
"285" 4 1 2 14.2 4 49 15 24 148
"286" 3 1 1 32.1 27 54 0 61 195
"287" 3 1 1 41.5 40 42 0 47 136
"288" 4 0 2 12.3 1 45 22 21 188
"289" 3 0 1 33.9 30 66 11 203 296
"290" 1 1 1 3.9 -8 46 9 3 43
"291" 3 0 1 34.9 31 62 7 215 175
"292" 3 1 1 34.9 0 52 19 98 205
"293" 3 0 1 36.8 36 63 19 132 181
"294" 1 0 1 8.6 -3 40 13 28 150
"295" 4 1 2 33 28 51 11 67 227
"296" 1 1 2 13.3 2 61 20 52 105
"297" 1 1 1 18.9 12 38 20 33 128
"298" 1 0 1 15.1 5 57 15 74 250
"299" 2 1 1 30.2 25 57 17 60 168
"300" 1 1 2 21.7 15 82 28 3 53
"301" 3 1 1 40.5 35 32 11 53 66
"302" 1 0 1 15.1 7 39 7 92 111
"303" 2 0 1 33 29 62 9 134 270
"304" 2 1 2 26.4 20 60 13 63 133
"305" 3 1 2 33.9 29 58 7 29 93
"306" 2 1 1 30.2 25 65 9 61 160
"307" 3 0 1 32.1 27 58 19 189 437
"308" 3 1 2 34.9 31 62 0 63 151
"309" 1 0 1 6.7 -8 40 35 2 47
"310" 4 0 1 17 10 54 19 102 213
"311" 1 0 2 19.8 13 82 11 129 239
"312" 1 0 1 14.2 6 57 9 102 184
"313" 4 1 3 19.8 13 100 6 3 47
"314" 1 1 1 25.5 19 60 9 60 151
"315" 2 1 2 26.4 20 81 9 39 145
"316" 1 0 1 16.1 7 62 9 33 92
"317" 4 1 1 16.1 7 37 15 13 150
"318" 2 1 2 27.4 22 78 7 27 67
"319" 3 1 1 33 28 58 6 71 196
"320" 4 1 1 16.1 6 29 26 16 155
"321" 2 1 2 25.5 19 56 13 65 162
"322" 1 1 1 11.4 -2 48 30 19 41
"323" 2 1 1 23.6 17 27 28 96 127
"324" 1 0 1 15.1 6 76 9 40 98
"325" 3 1 3 32.1 28 84 11 10 52
"326" 2 1 1 26.4 20 60 15 43 136
"327" 2 1 2 24.5 18 52 6 36 87
"328" 1 1 2 11.4 2 56 9 17 86
"329" 2 0 1 28.3 24 61 22 260 348
"330" 2 1 2 24.5 18 49 22 42 123
"331" 1 1 3 18 11 82 17 6 99
"332" 4 0 2 16.1 6 46 26 56 284
"333" 2 0 3 17 10 87 20 7 70
"334" 1 1 2 10.4 1 60 6 23 99
"335" 1 1 1 19.8 13 54 19 20 66
"336" 2 1 2 18.9 12 38 15 109 159
"337" 2 1 1 29.2 25 38 33 71 168
"338" 3 1 2 33.9 31 74 17 61 104
"339" 1 1 2 12.3 4 87 6 5 47
"340" 1 0 1 9.5 2 75 0 9 50
"341" 4 1 1 20.8 14 36 0 76 175
"342" 1 0 1 16.1 7 46 15 55 201
"343" 2 1 1 18 11 82 22 3 69
"344" 2 1 2 27.4 21 83 11 24 82
"345" 1 1 2 11.4 3 87 6 9 90
"346" 4 1 2 32.1 27 70 7 38 176
"347" 4 1 1 21.7 15 55 35 30 99
"348" 1 1 1 9.5 -1 51 11 3 61
"349" 3 1 1 30.2 25 47 11 38 100
"350" 3 1 2 34.9 29 45 9 68 220
"351" 2 1 2 16.1 9 53 0 48 153
"352" 3 1 2 29.2 21 94 15 16 82
"353" 1 1 2 12.3 0 56 30 23 80
"354" 3 0 1 33.9 30 66 24 150 332
"355" 2 0 1 28.3 25 57 7 196 350
"356" 2 1 2 18 11 62 26 19 79
"357" 3 1 1 33 29 66 11 43 121
"358" 3 1 1 38.6 32 32 6 92 141
"359" 3 0 2 34.9 30 55 6 177 172
"360" 3 0 1 38.6 33 39 15 162 295
"361" 1 1 2 10.4 0 60 9 6 55
"362" 4 1 2 27.4 23 73 26 88 175
"363" 1 1 3 14.2 6 66 7 6 24
"364" 2 0 1 29.2 25 41 17 199 312
"365" 3 1 1 34.9 28 37 6 83 191
"366" 3 0 1 39.6 37 47 17 155 315
"367" 2 1 1 30.2 25 47 15 67 170
"368" 2 1 1 41.5 40 42 15 36 82
"369" 4 0 1 27.4 25 43 15 222 369
"370" 3 0 1 34.9 30 55 15 183 326
"371" 3 0 1 35.8 32 55 13 110 177
"372" 4 1 3 28.3 18 100 7 1 20
"373" 1 0 3 6.7 -6 80 17 18 115
"374" 1 1 2 14.2 3 76 26 15 44
"375" 3 1 1 35.8 30 46 7 75 97
"376" 3 0 2 30.2 25 74 0 191 314
"377" 3 0 2 32.1 28 74 11 101 207
"378" 2 1 1 18 11 37 20 112 179
"379" 3 0 1 33.9 28 48 15 171 225
"380" 3 1 2 22.7 16 51 9 40 139
"381" 1 1 1 19.8 13 72 11 31 82
"382" 1 1 1 17 10 46 13 40 154
"383" 2 0 1 29.2 25 53 9 173 245
"384" 4 1 3 24.5 18 94 22 18 102
"385" 2 1 1 29.2 23 78 13 38 186
"386" 2 1 1 22.7 16 42 26 54 168
"387" 4 0 1 16.1 7 53 15 58 182
"388" 3 1 1 28.3 25 43 20 69 167
"389" 4 1 1 18 11 50 13 43 198
"390" 2 1 3 30.2 24 83 24 8 57
"391" 3 1 1 36.8 34 55 7 54 162
"392" 1 1 2 8.6 -3 40 15 19 48
"393" 4 1 2 15.1 8 55 0 12 103
"394" 3 1 2 34.9 30 52 17 44 103
"395" 3 0 1 37.7 35 52 11 170 281
"396" 4 1 1 18 11 37 20 18 112
"397" 4 1 2 16.1 6 53 24 28 145
"398" 3 0 3 29.2 23 78 11 83 189
"399" 4 1 1 26.4 20 64 0 47 189
"400" 2 0 1 32.1 27 65 15 171 178
